year,state_name,district_name,kidnapping_and_abduction,dowry_deaths,cruelty_by_husband_or_his_relatives,murder_with_rape_gang_rape
2017,Andhra Pradesh,Ananthapuramu,11.0,14.0,471.0,0.0
2017,Andhra Pradesh,Chittoor,5.0,8.0,212.0,0.0
2017,Andhra Pradesh,Y.S.R.,1.0,15.0,481.0,0.0
2017,Andhra Pradesh,East Godavari,10.0,10.0,601.0,0.0
2017,Andhra Pradesh,Ananthapuramu,0.0,3.0,1.0,0.0
2017,Andhra Pradesh,Guntur,7.0,14.0,558.0,0.0
2017,Andhra Pradesh,Guntur,2.0,1.0,335.0,0.0
2017,Andhra Pradesh,Krishna,49.0,14.0,620.0,0.0
2017,Andhra Pradesh,Kurnool,3.0,18.0,313.0,3.0
2017,Andhra Pradesh,Sri Potti Sriramulu Nellore,14.0,6.0,469.0,0.0
2017,Andhra Pradesh,Prakasam,15.0,6.0,598.0,0.0
2017,Andhra Pradesh,East Godavari,0.0,1.0,163.0,0.0
2017,Andhra Pradesh,Srikakulam,0.0,7.0,224.0,1.0
2017,Andhra Pradesh,Tirupati,0.0,7.0,86.0,0.0
2017,Andhra Pradesh,Ntr,9.0,10.0,460.0,0.0
2017,Andhra Pradesh,Ntr,1.0,0.0,1.0,0.0
2017,Andhra Pradesh,Visakhapatnam,16.0,1.0,116.0,0.0
2017,Andhra Pradesh,Visakhapatnam,81.0,7.0,449.0,0.0
2017,Andhra Pradesh,Vizianagaram,6.0,3.0,221.0,1.0
2017,Andhra Pradesh,West Godavari,15.0,7.0,777.0,1.0
2017,Arunachal Pradesh,Anjaw,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Changlang,1.0,0.0,1.0,0.0
2017,Arunachal Pradesh,Papum Pare,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Dibang Valley,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,East Kameng,0.0,0.0,1.0,0.0
2017,Arunachal Pradesh,West Kameng,2.0,0.0,1.0,0.0
2017,Arunachal Pradesh,Kurung Kumey,0.0,0.0,1.0,0.0
2017,Arunachal Pradesh,Lohit,1.0,0.0,3.0,0.0
2017,Arunachal Pradesh,Longding,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Lower Dibang Valley,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Papum Pare,17.0,0.0,30.0,0.0
2017,Arunachal Pradesh,Lower Subansiri,0.0,0.0,2.0,0.0
2017,Arunachal Pradesh,Upper Subansiri,1.0,0.0,5.0,0.0
2017,Arunachal Pradesh,Tawang,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Tirap,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Namsai,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Siang,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Kamle,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Lower Siang,0.0,0.0,0.0,0.0
2017,Assam,Kamrup Metro,0.0,0.0,0.0,0.0
2017,Assam,Barpeta,0.0,22.0,792.0,3.0
2017,Assam,Baksa,13.0,3.0,92.0,0.0
2017,Assam,Bongaigaon,2.0,9.0,338.0,1.0
