year,state_name,district_name,rape_women_above_18,dowry_deaths,kidnapping_and_abduction,cruelty_by_husband_or_his_relatives
2017,Andhra Pradesh,Ananthapuramu,20.0,14.0,11.0,471.0
2017,Andhra Pradesh,Chittoor,6.0,8.0,5.0,212.0
2017,Andhra Pradesh,Y.S.R.,23.0,15.0,1.0,481.0
2017,Andhra Pradesh,East Godavari,19.0,10.0,10.0,601.0
2017,Andhra Pradesh,Ananthapuramu,0.0,3.0,0.0,1.0
2017,Andhra Pradesh,Guntur,32.0,14.0,7.0,558.0
2017,Andhra Pradesh,Guntur,14.0,1.0,2.0,335.0
2017,Andhra Pradesh,Krishna,35.0,14.0,49.0,620.0
2017,Andhra Pradesh,Kurnool,17.0,18.0,3.0,313.0
2017,Andhra Pradesh,Sri Potti Sriramulu Nellore,15.0,6.0,14.0,469.0
2017,Andhra Pradesh,Prakasam,35.0,6.0,15.0,598.0
2017,Andhra Pradesh,East Godavari,15.0,1.0,0.0,163.0
2017,Andhra Pradesh,Srikakulam,10.0,7.0,0.0,224.0
2017,Andhra Pradesh,Tirupati,2.0,7.0,0.0,86.0
2017,Andhra Pradesh,Ntr,41.0,10.0,9.0,460.0
2017,Andhra Pradesh,Ntr,0.0,0.0,1.0,1.0
2017,Andhra Pradesh,Visakhapatnam,27.0,1.0,16.0,116.0
2017,Andhra Pradesh,Visakhapatnam,63.0,7.0,81.0,449.0
2017,Andhra Pradesh,Vizianagaram,18.0,3.0,6.0,221.0
2017,Andhra Pradesh,West Godavari,60.0,7.0,15.0,777.0
2017,Arunachal Pradesh,Anjaw,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Changlang,1.0,0.0,1.0,1.0
2017,Arunachal Pradesh,Papum Pare,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Dibang Valley,1.0,0.0,0.0,0.0
2017,Arunachal Pradesh,East Kameng,3.0,0.0,0.0,1.0
2017,Arunachal Pradesh,West Kameng,0.0,0.0,2.0,1.0
2017,Arunachal Pradesh,Kurung Kumey,0.0,0.0,0.0,1.0
2017,Arunachal Pradesh,Lohit,2.0,0.0,1.0,3.0
2017,Arunachal Pradesh,Longding,2.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Lower Dibang Valley,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Papum Pare,4.0,0.0,17.0,30.0
2017,Arunachal Pradesh,Papum Pare,1.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Lower Subansiri,0.0,0.0,0.0,2.0
2017,Arunachal Pradesh,Upper Subansiri,2.0,0.0,1.0,5.0
2017,Arunachal Pradesh,Tawang,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Tirap,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Namsai,2.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Siang,2.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Kamle,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Lower Siang,1.0,0.0,0.0,0.0
2017,Assam,Kamrup Metro,0.0,0.0,0.0,0.0
2017,Assam,Barpeta,176.0,22.0,0.0,792.0
2017,Assam,Baksa,35.0,3.0,13.0,92.0
2017,Assam,Bongaigaon,45.0,9.0,2.0,338.0
2017,Assam,Kamrup Metro,0.0,0.0,0.0,0.0
2017,Assam,Cachar,51.0,8.0,323.0,457.0
2017,Assam,Chirang,30.0,0.0,13.0,74.0
2017,Assam,Darrang,80.0,4.0,0.0,552.0
2017,Assam,Dhemaji,43.0,6.0,0.0,149.0
2017,Assam,Dhubri,81.0,15.0,19.0,1054.0
2017,Assam,Dibrugarh,31.0,6.0,22.0,299.0
2017,Assam,Kamrup Metro,0.0,0.0,0.0,0.0
2017,Assam,Goalpara,48.0,6.0,45.0,123.0
2017,Assam,Golaghat,55.0,1.0,55.0,310.0
2017,Assam,Kamrup Metro,73.0,5.0,0.0,688.0
2017,Assam,Hailakandi,81.0,7.0,0.0,273.0
2017,Assam,West Karbi Anglong,17.0,0.0,0.0,15.0
2017,Assam,Jorhat,34.0,2.0,25.0,388.0
2017,Assam,Kamrup,90.0,3.0,8.0,350.0
2017,Assam,Karbi Anglong,14.0,3.0,15.0,69.0
2017,Assam,Karimganj,66.0,11.0,22.0,259.0
2017,Assam,Kokrajhar,35.0,4.0,0.0,168.0
2017,Assam,Lakhimpur,69.0,7.0,16.0,438.0
2017,Assam,Marigaon,84.0,5.0,0.0,355.0
2017,Assam,Dima Hasao,1.0,0.0,4.0,8.0
2017,Assam,Nagaon,93.0,7.0,22.0,963.0
2017,Assam,Nalbari,34.0,2.0,40.0,184.0
2017,Assam,Kamrup Metro,3.0,0.0,0.0,15.0
2017,Assam,Kamrup Metro,0.0,0.0,0.0,0.0
2017,Assam,Kamrup Metro,0.0,0.0,0.0,0.0
2017,Assam,Sivasagar,11.0,4.0,0.0,233.0
2017,Assam,Sonitpur,50.0,0.0,49.0,383.0
2017,Assam,Tinsukia,72.0,4.0,0.0,220.0
2017,Assam,Udalguri,12.0,4.0,0.0,40.0
2017,Assam,Tinsukia,3.0,0.0,0.0,0.0
2017,Assam,Majuli,6.0,0.0,0.0,33.0
2017,Assam,Biswanath,17.0,6.0,35.0,111.0
2017,Assam,Hojai,55.0,10.0,64.0,268.0
2017,Assam,South Salmara Mancachar,65.0,6.0,0.0,0.0
2017,Assam,Charaideo,12.0,1.0,4.0,81.0
2017,Bihar,Araria,37.0,11.0,0.0,63.0
2017,Bihar,Arwal,3.0,6.0,7.0,28.0
2017,Bihar,Aurangabad,4.0,19.0,2.0,39.0
2017,Bihar,Pashchim Champaran,8.0,12.0,1.0,30.0
2017,Bihar,Banka,12.0,20.0,26.0,32.0
2017,Bihar,Begusarai,11.0,20.0,0.0,46.0
2017,Bihar,Pashchim Champaran,13.0,33.0,22.0,222.0
2017,Bihar,Bhagalpur,48.0,13.0,0.0,114.0
2017,Bihar,Bhojpur,10.0,34.0,44.0,180.0
2017,Bihar,Buxar,8.0,18.0,4.0,41.0
2017,Bihar,Darbhanga,17.0,17.0,0.0,195.0
2017,Bihar,Gaya,12.0,49.0,77.0,99.0
2017,Bihar,Gopalganj,2.0,25.0,0.0,54.0
2017,Bihar,Munger,0.0,0.0,0.0,0.0
2017,Bihar,Jamui,8.0,11.0,0.0,75.0
2017,Bihar,Jehanabad,9.0,18.0,26.0,31.0
2017,Bihar,Katihar,28.0,14.0,0.0,106.0
2017,Bihar,Katihar,0.0,0.0,0.0,0.0
2017,Bihar,Khagaria,4.0,10.0,0.0,78.0
2017,Bihar,Kishanganj,20.0,14.0,4.0,33.0
2017,Bihar,Lakhisarai,10.0,11.0,0.0,41.0
2017,Bihar,Madhepura,12.0,11.0,0.0,96.0
2017,Bihar,Madhubani,40.0,39.0,0.0,199.0
2017,Bihar,Purbi Champaran,0.0,59.0,14.0,170.0
2017,Bihar,Munger,6.0,11.0,0.0,78.0
2017,Bihar,Muzaffarpur,40.0,58.0,59.0,121.0
2017,Bihar,Muzaffarpur,1.0,0.0,3.0,1.0
2017,Bihar,Nalanda,10.0,62.0,20.0,107.0
2017,Bihar,Bhagalpur,2.0,9.0,0.0,23.0
2017,Bihar,Nawada,18.0,17.0,12.0,54.0
2017,Bihar,Patna,54.0,97.0,0.0,447.0
2017,Bihar,Patna,0.0,2.0,0.0,0.0
2017,Bihar,Rohtas,20.0,36.0,41.0,108.0
2017,Bihar,Saharsa,19.0,17.0,0.0,75.0
2017,Bihar,Samastipur,0.0,42.0,40.0,51.0
2017,Bihar,Saran,20.0,77.0,0.0,78.0
2017,Bihar,Sheikhpura,1.0,12.0,8.0,19.0
2017,Bihar,Sheohar,7.0,4.0,0.0,19.0
2017,Bihar,Sitamarhi,16.0,28.0,8.0,183.0
2017,Bihar,Siwan,15.0,36.0,39.0,148.0
2017,Bihar,Supaul,25.0,15.0,0.0,65.0
2017,Bihar,Vaishali,9.0,52.0,36.0,114.0
2017,Bihar,Patna,0.0,0.0,0.0,0.0
2017,Bihar,Patna,0.0,0.0,0.0,0.0
2017,Chhattisgarh,Balod,11.0,1.0,20.0,6.0
2017,Chhattisgarh,Balrampur Ramanujganj,44.0,3.0,21.0,11.0
2017,Chhattisgarh,Bemetara,16.0,5.0,23.0,15.0
2017,Chhattisgarh,Bilaspur,48.0,4.0,0.0,69.0
2017,Chhattisgarh,Bijapur,3.0,0.0,7.0,0.0
2017,Chhattisgarh,Dakshin Bastar Dantewada,4.0,1.0,6.0,4.0
2017,Chhattisgarh,Dhamtari,19.0,7.0,7.0,8.0
2017,Chhattisgarh,Durg,69.0,6.0,140.0,63.0
2017,Chhattisgarh,Gariyaband,7.0,0.0,5.0,5.0
2017,Chhattisgarh,Raipur,2.0,0.0,5.0,1.0
2017,Chhattisgarh,Bastar,21.0,0.0,0.0,9.0
2017,Chhattisgarh,Janjgir-Champa,31.0,6.0,62.0,56.0
2017,Chhattisgarh,Jashpur,43.0,0.0,35.0,5.0
2017,Chhattisgarh,Kabeerdham,14.0,2.0,33.0,14.0
2017,Chhattisgarh,Uttar Bastar Kanker,23.0,2.0,31.0,8.0
2017,Chhattisgarh,Kondagaon,8.0,0.0,10.0,5.0
2017,Chhattisgarh,Korba,41.0,6.0,38.0,46.0
2017,Chhattisgarh,Korea,64.0,0.0,64.0,28.0
2017,Chhattisgarh,Mahasamund,26.0,7.0,39.0,12.0
2017,Chhattisgarh,Mungeli,13.0,5.0,21.0,26.0
2017,Chhattisgarh,Narayanpur,4.0,0.0,9.0,1.0
2017,Chhattisgarh,Raigarh,27.0,6.0,0.0,26.0
2017,Chhattisgarh,Raipur,77.0,5.0,234.0,82.0
2017,Chhattisgarh,Rajnandgaon,35.0,0.0,77.0,27.0
2017,Chhattisgarh,Surguja,56.0,1.0,39.0,12.0
2017,Chhattisgarh,Sukma,8.0,1.0,0.0,1.0
2017,Chhattisgarh,Surajpur,43.0,3.0,16.0,22.0
2017,Goa,North Goa,7.0,0.0,30.0,10.0
2017,Goa,South Goa,12.0,1.0,19.0,10.0
2017,Goa,North Goa,1.0,0.0,1.0,1.0
2017,Gujarat,Ahmadabad,62.0,2.0,35.0,667.0
2017,Gujarat,Ahmadabad,15.0,1.0,0.0,54.0
2017,Gujarat,Amreli,5.0,0.0,7.0,72.0
2017,Gujarat,Anand,14.0,0.0,2.0,92.0
2017,Gujarat,Arvalli,7.0,0.0,30.0,49.0
2017,Gujarat,Banas Kantha,43.0,2.0,74.0,94.0
2017,Gujarat,Bharuch,11.0,0.0,12.0,43.0
2017,Gujarat,Bhavnagar,10.0,0.0,2.0,88.0
2017,Gujarat,Botad,7.0,0.0,1.0,16.0
2017,Gujarat,Chhotaudepur,8.0,0.0,0.0,7.0
2017,Gujarat,Gandhinagar,0.0,0.0,0.0,0.0
2017,Gujarat,Dohad,16.0,0.0,13.0,119.0
2017,Gujarat,Dang,1.0,0.0,1.0,0.0
2017,Gujarat,Devbhumi Dwarka,4.0,0.0,4.0,90.0
2017,Gujarat,Gandhinagar,8.0,0.0,6.0,116.0
2017,Gujarat,Gir Somnath,9.0,0.0,5.0,110.0
2017,Gujarat,Jamnagar,11.0,0.0,0.0,81.0
2017,Gujarat,Junagadh,13.0,0.0,4.0,150.0
2017,Gujarat,Kachchh,10.0,0.0,8.0,51.0
2017,Gujarat,Kachchh,17.0,0.0,5.0,68.0
2017,Gujarat,Kheda,7.0,0.0,30.0,22.0
2017,Gujarat,Mahisagar,5.0,0.0,25.0,47.0
2017,Gujarat,Mahesana,15.0,0.0,33.0,103.0
2017,Gujarat,Morbi,5.0,0.0,1.0,31.0
2017,Gujarat,Narmada,5.0,0.0,0.0,8.0
2017,Gujarat,Navsari,8.0,0.0,9.0,18.0
2017,Gujarat,Panch Mahals,7.0,0.0,4.0,65.0
2017,Gujarat,Patan,10.0,0.0,4.0,45.0
2017,Gujarat,Porbandar,4.0,1.0,8.0,42.0
2017,Gujarat,Rajkot,21.0,0.0,0.0,157.0
2017,Gujarat,Rajkot,12.0,0.0,5.0,133.0
2017,Gujarat,Sabar Kantha,13.0,0.0,32.0,104.0
2017,Gujarat,Surat,32.0,0.0,4.0,217.0
2017,Gujarat,Surat,8.0,1.0,7.0,34.0
2017,Gujarat,Surendranagar,8.0,1.0,0.0,46.0
2017,Gujarat,Tapi,11.0,0.0,0.0,7.0
2017,Gujarat,Vadodara,10.0,1.0,0.0,161.0
2017,Gujarat,Vadodara,3.0,0.0,3.0,6.0
2017,Gujarat,Valsad,17.0,0.0,23.0,9.0
2017,Haryana,Ambala,39.0,8.0,0.0,107.0
2017,Haryana,Bhiwani,30.0,12.0,0.0,79.0
2017,Haryana,Faridabad,95.0,23.0,23.0,473.0
2017,Haryana,Fatehabad,21.0,4.0,0.0,60.0
2017,Haryana,Ambala,3.0,4.0,0.0,0.0
2017,Haryana,Gurugram,136.0,29.0,21.0,242.0
2017,Haryana,Hisar,44.0,8.0,1.0,121.0
2017,Haryana,Jhajjar,30.0,16.0,0.0,199.0
2017,Haryana,Jind,27.0,7.0,0.0,154.0
2017,Haryana,Kaithal,31.0,12.0,0.0,81.0
2017,Haryana,Karnal,34.0,13.0,0.0,120.0
2017,Haryana,Kurukshetra,34.0,4.0,0.0,143.0
2017,Haryana,Mahendragarh,24.0,9.0,0.0,55.0
2017,Haryana,Palwal,21.0,11.0,0.0,137.0
2017,Haryana,Panchkula,19.0,3.0,0.0,50.0
2017,Haryana,Panipat,72.0,13.0,0.0,254.0
2017,Haryana,Rewari,36.0,11.0,0.0,97.0
2017,Haryana,Rohtak,70.0,15.0,1.0,274.0
2017,Haryana,Sirsa,19.0,2.0,0.0,94.0
2017,Haryana,Sonipat,54.0,14.0,0.0,221.0
2017,Haryana,Yamunanagar,49.0,7.0,0.0,157.0
2017,Haryana,Charki Dadri,15.0,2.0,0.0,30.0
2017,Haryana,Hisar,7.0,3.0,0.0,52.0
2017,Himachal Pradesh,Solan,6.0,1.0,2.0,12.0
2017,Himachal Pradesh,Bilaspur,10.0,0.0,6.0,16.0
2017,Himachal Pradesh,Chamba,4.0,0.0,0.0,7.0
2017,Himachal Pradesh,Shimla,0.0,0.0,0.0,0.0
2017,Himachal Pradesh,Shimla,0.0,0.0,0.0,0.0
2017,Himachal Pradesh,Hamirpur,8.0,0.0,6.0,5.0
2017,Himachal Pradesh,Kangra,10.0,0.0,0.0,31.0
2017,Himachal Pradesh,Kinnaur,2.0,0.0,2.0,0.0
2017,Himachal Pradesh,Kullu,7.0,0.0,17.0,12.0
2017,Himachal Pradesh,Mandi,20.0,1.0,0.0,44.0
2017,Himachal Pradesh,Shimla,9.0,0.0,20.0,15.0
2017,Himachal Pradesh,Sirmaur,11.0,0.0,0.0,20.0
2017,Himachal Pradesh,Solan,11.0,1.0,6.0,4.0
2017,Himachal Pradesh,Una,8.0,0.0,2.0,25.0
2017,Himachal Pradesh,Shimla,0.0,0.0,0.0,0.0
2017,Jammu And Kashmir,Anantnag,11.0,0.0,0.0,16.0
2017,Jammu And Kashmir,Pulwama,1.0,0.0,0.0,5.0
2017,Jammu And Kashmir,Bandipora,4.0,0.0,0.0,2.0
2017,Jammu And Kashmir,Baramulla,4.0,0.0,55.0,46.0
2017,Jammu And Kashmir,Budgam,10.0,0.0,0.0,2.0
2017,Jammu And Kashmir,Jammu,0.0,0.0,0.0,0.0
2017,Jammu And Kashmir,Srinagar,0.0,0.0,0.0,0.0
2017,Jammu And Kashmir,Doda,15.0,0.0,32.0,7.0
2017,Jammu And Kashmir,Ganderbal,4.0,0.0,19.0,10.0
2017,Jammu And Kashmir,Kupwara,8.0,0.0,0.0,4.0
2017,Jammu And Kashmir,Jammu,49.0,4.0,0.0,64.0
2017,Jammu And Kashmir,Kathua,8.0,2.0,16.0,12.0
2017,Jammu And Kashmir,Kishtwar,2.0,0.0,10.0,4.0
